id,section_main,section_sub,title_raw,title_kor,key_symptoms,formula,tag
197,양명병,단일,陽明病 反無汗 而小便不利 心中懊憹者 身必發黃,양명병에 도리어 땀이 없고 소변이 안 나오며 가슴 속이 괴로우면 몸이 반드시 노랗게 된다.,무한,소변불리,심중오뇌,,양명발황
198,양명병,단일,陽明病 便難 而小便反利者 此爲脾約 麻子仁丸主之,양명병 대변은 힘든데 소변은 도리어 잘 나오는 것은 비약이니 마자인환으로 다스린다.,변난,소변반리,마자인환,비약증(脾約)
199,양명병,단일,陽明病 無汗 渴欲飮水 無表證者 白虎加人參湯主之,양명병에 땀이 없고 갈증이 심하며 표증이 없는 자는 백호가인삼탕으로 다스린다.,무한,갈욕음수,무표증,백호가인삼탕,양명경열
200,양명병,단일,陽明病 發熱 汗出者 此爲熱越 不能發黃也 但頭汗出 身無汗 劑頸而還 小便不利 渴引水漿者 此爲瘀熱在裏 身必發黃 茵蔯蒿湯主之,양명병에 열이 나고 땀이 나면 황달이 되지 않는다. 머리에만 땀이 나고 소변이 불리하며 갈증이 심하면 어열이 안에 있어 몸이 반드시 노래지니 인진호탕으로 다스린다.,단두한출,소변불리,갈,인진호탕,양명황달
201,양명병,단일,陽明病 本自汗出 醫更重發汗 病已差 尙微煩 不了了者 此亡津液 故令大便硬 當問其小便日幾行 若本小便日三四行 今日再行 故知大便不久出 今爲小便數少 以津液當還入胃中 故知不久必大便也,양명병에 본래 땀이 나는데 의사가 거듭 땀을 내어 진액이 망실되면 대변이 반드시 굳어진다.,자한,중발한,대변경,,오발한후과
202,양명병,단일,陽明病 口燥 但欲漱水 不欲咽者 此必衄,양명병에 입이 마르나 물을 양치만 하고 삼키려 하지 않는 자는 반드시 코피가 난다.,구조,수수불욕연,,양명뉵혈
203,양명병,단일,陽明病 本渴 飮水者 必自愈 若未解 宜五苓散,양명병에 본래 갈증이 있는데 물을 마시는 것은 병이 풀리려는 징조이다.,갈,욕음수,오령산,양명욕해
204,양명병,단일,陽明病 脈浮而緊者 必潮熱 發作有時 但浮者 必盜汗出,양명병 맥이 부하고 긴한 자는 반드시 조열이 있으니 소승기탕이 적당하다.,맥부긴,조열,소승기탕,양명열실
205,양명병,단일,陽明病 下之 心中懊憹而煩 胃中空虛 客氣動膈 梔子豉湯主之,하법 후 위중이 비어있고 가슴 속이 괴로우면 치자시탕으로 다스린다.,심중오뇌,위중공허,치자시탕,양명허번
206,양명병,단일,陽明病 浮虛而澁者 故知汗出 渴欲飮水 若下之 則腹滿小便難也,양명병 맥이 부허하고 삽한 자는 땀이 나는 것을 알 수 있다. 갈증이 있는데 설사시키면 배가 그득하고 소변이 어려워진다.,맥부허삽,갈,,오하후복만
207,양명병,단일,陽明病 渴欲飮水 口乾舌燥者 白虎加人參湯主之,양명병에 갈증이 심해 물을 마시려 하고 입과 혀가 마른 자는 백호가인삼탕으로 다스린다.,갈욕음수,구건설조,백호가인삼탕,양명경열
208,양명병,단일,陽明病 脈遲 雖汗出 不惡寒者 其身必重 短氣 腹滿而喘 有潮熱者 此外欲解 可攻裏也 手足濈然汗出者 此大便已硬也 大承氣湯主之,(중복 강조: 185조 유사),,,대승기탕,양명열실
209,양명병,단일,陽明病 潮熱 大便微硬者 可與大承氣湯 不硬者 不可與之,양명병 조열이 있고 대변이 약간 굳으면 대승기탕을 줄 수 있으나 굳지 않으면 주어선 안 된다.,조열,대변경,대승기탕,대승기탕기준
210,양명병,단일,夫陽明病 潮熱 譫語者 宜大承氣湯 下之則愈,양명병 조열이 있고 섬어하는 자는 대승기탕이 적당하니 즉시 내려보내야 한다.,조열,섬어,대승기탕,대승기탕적응
